instructions,false_label,true_label,trial_type,descriptor,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,required_response.keys,required_response.corr,required_response.rt,feedback_response.keys,feedback_response.corr,feedback_response.rt,participant,gender,age,frameRate,expName,date,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",FALSE,TRUE,3,target_1,0,1,1,1,4,2,18,0,i,1,0.150800943375,None,0,,,,,59.8752617747,RRT,2016_May_01_1658,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",FALSE,TRUE,5,target_3,0,1,1,1,4,3,19,2,e,1,0.267552137375,i,1,0.201758146286,,,,59.8752617747,RRT,2016_May_01_1658,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",FALSE,TRUE,1,inducer_1,0,2,2,2,0,0,0,0,i,1,0.16868185997,None,0,,,,,59.8752617747,RRT,2016_May_01_1658,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",FALSE,TRUE,1,inducer_1,0,2,2,2,0,1,1,0,i,1,0.218827962875,None,0,,,,,59.8752617747,RRT,2016_May_01_1658,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",FALSE,TRUE,5,target_3,0,2,2,2,0,2,2,4,e,1,0.318890094757,i,1,0.218131065369,,,,59.8752617747,RRT,2016_May_01_1658,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",FALSE,TRUE,6,target_4,0,2,2,2,0,3,3,5,i,1,0.135542869568,None,0,,,,,59.8752617747,RRT,2016_May_01_1658,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",FALSE,TRUE,6,target_4,0,2,2,2,0,4,4,5,i,1,0.219831943512,None,0,,,,,59.8752617747,RRT,2016_May_01_1658,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",FALSE,TRUE,6,target_4,0,2,2,2,0,5,5,5,i,1,0.167840003967,None,0,,,,,59.8752617747,RRT,2016_May_01_1658,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",FALSE,TRUE,4,target_2,0,2,2,2,1,0,6,3,e,1,0.251349925995,i,1,0.151257038116,,,,59.8752617747,RRT,2016_May_01_1658,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",FALSE,TRUE,4,target_2,0,2,2,2,1,1,7,3,e,1,0.151703119278,i,1,0.0682179927826,,,,59.8752617747,RRT,2016_May_01_1658,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",FALSE,TRUE,4,target_2,0,2,2,2,1,2,8,3,e,1,0.16748213768,i,1,0.101233005524,,,,59.8752617747,RRT,2016_May_01_1658,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",FALSE,TRUE,6,target_4,0,2,2,2,1,3,9,5,i,1,0.11874294281,None,0,,,,,59.8752617747,RRT,2016_May_01_1658,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",FALSE,TRUE,3,target_1,0,2,2,2,1,4,10,2,i,1,0.218221902847,None,0,,,,,59.8752617747,RRT,2016_May_01_1658,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",FALSE,TRUE,2,inducer_2,0,2,2,2,1,5,11,1,e,1,0.234539985657,i,1,0.217636823654,,,,59.8752617747,RRT,2016_May_01_1658,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",FALSE,TRUE,5,target_3,0,2,2,2,2,0,12,4,e,1,0.184605121613,i,1,0.118396043777,,,,59.8752617747,RRT,2016_May_01_1658,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",FALSE,TRUE,3,target_1,0,2,2,2,2,1,13,2,i,1,0.117880105972,None,0,,,,,59.8752617747,RRT,2016_May_01_1658,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",FALSE,TRUE,2,inducer_2,0,2,2,2,2,2,14,1,e,1,0.268697023392,i,1,0.201327085495,,,,59.8752617747,RRT,2016_May_01_1658,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",FALSE,TRUE,2,inducer_2,0,2,2,2,2,3,15,1,e,1,0.184312105179,i,1,0.117630958557,,,,59.8752617747,RRT,2016_May_01_1658,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",FALSE,TRUE,4,target_2,0,2,2,2,2,4,16,3,e,1,0.184535980225,i,1,0.101603984833,,,,59.8752617747,RRT,2016_May_01_1658,
