instructions,stimulus,trial_type,true_label,false_label,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,required_response.keys,required_response.corr,required_response.rt,feedback_response.keys,feedback_response.corr,feedback_response.rt,participant,gender,age,frameRate,expName,date,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",Incorrect,2,TRUE,FALSE,0,2,2,2,0,8,8,6,e,1,3.4002289772,i,1,3.0983710289,1,,,59.8221439992,RRT,2016_May_01_0130,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",I am not bad,6,TRUE,FALSE,0,2,2,2,0,9,9,25,i,1,0.537370920181,None,0,,1,,,59.8221439992,RRT,2016_May_01_0130,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",I am not boring,6,TRUE,FALSE,0,2,2,2,0,10,10,28,i,1,0.739066123962,None,0,,1,,,59.8221439992,RRT,2016_May_01_0130,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",Correct,1,TRUE,FALSE,0,2,2,2,0,11,11,1,i,1,0.77148103714,None,0,,1,,,59.8221439992,RRT,2016_May_01_0130,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",I am not good,5,TRUE,FALSE,0,2,2,2,0,12,12,20,e,1,1.10614299774,i,1,0.804069042206,1,,,59.8221439992,RRT,2016_May_01_0130,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",I am a failure,4,TRUE,FALSE,0,2,2,2,0,13,13,16,e,1,0.77139210701,i,1,0.487720012665,1,,,59.8221439992,RRT,2016_May_01_0130,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",I am kind,3,TRUE,FALSE,0,2,2,2,0,14,14,14,i,1,0.503001928329,None,0,,1,,,59.8221439992,RRT,2016_May_01_0130,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",True,1,TRUE,FALSE,0,2,2,2,0,15,15,0,i,1,4.17038321495,None,0,,1,,,59.8221439992,RRT,2016_May_01_0130,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",I am boring,4,TRUE,FALSE,0,2,2,2,0,16,16,18,e,1,0.0843238830566,None,0,,1,,,59.8221439992,RRT,2016_May_01_0130,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",Inaccurate,2,TRUE,FALSE,0,2,2,2,0,17,17,8,e,1,2.93130803108,i,1,2.56167292595,1,,,59.8221439992,RRT,2016_May_01_0130,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",I am worthwhile,3,TRUE,FALSE,0,2,2,2,0,18,18,12,i,1,0.55424785614,None,0,,1,,,59.8221439992,RRT,2016_May_01_0130,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",Untrue,2,TRUE,FALSE,0,2,2,2,0,19,19,9,e,1,2.3962161541,i,1,2.11176204681,1,,,59.8221439992,RRT,2016_May_01_0130,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",I am not valuable,5,TRUE,FALSE,0,2,2,2,0,20,20,21,e,1,0.738071918488,i,1,0.469765901566,1,,,59.8221439992,RRT,2016_May_01_0130,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",I am bad,4,TRUE,FALSE,0,2,2,2,0,21,21,15,e,1,0.737203121185,i,1,0.435729026794,1,,,59.8221439992,RRT,2016_May_01_0130,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",I am not kind,5,TRUE,FALSE,0,2,2,2,0,22,22,24,e,1,0.620719909668,i,1,0.352437973022,1,,,59.8221439992,RRT,2016_May_01_0130,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",I am worthless,4,TRUE,FALSE,0,2,2,2,0,23,23,17,e,1,0.636940002441,i,1,0.353173017502,1,,,59.8221439992,RRT,2016_May_01_0130,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",Confirm,1,TRUE,FALSE,0,2,2,2,0,24,24,4,i,1,4.0548350811,None,0,,1,,,59.8221439992,RRT,2016_May_01_0130,
